chat template sha256: 7de1c58e208eda46e9c7f86397df37ec49883aeece39fb961e0a6b24088dd3c4
data/sft_v2_eot.jsonl: kept 50758/52273  dropped(too long) 1515 (2.898%)  p50=330 p99=2339 max=3127
liger fused-linear-CE patched into gemma3

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 27.11it/s]
frozen vision params: 420M ; trainable: 3.88B

  0%|          | 0/1587 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.

  0%|          | 1/1587 [00:07<3:20:50,  7.60s/it]
  0%|          | 2/1587 [00:13<2:56:45,  6.69s/it]
  0%|          | 3/1587 [00:19<2:44:55,  6.25s/it]
  0%|          | 4/1587 [00:24<2:31:37,  5.75s/it]
  0%|          | 5/1587 [00:28<2:12:59,  5.04s/it]
  0%|          | 6/1587 [00:32<2:06:21,  4.80s/it]
  0%|          | 7/1587 [00:35<1:54:56,  4.37s/it]
  1%|          | 8/1587 [00:38<1:43:38,  3.94s/it]
  1%|          | 9/1587 [00:41<1:33:15,  3.55s/it]
  1%|          | 10/1587 [00:44<1:25:35,  3.26s/it]
                                                   
  1%|          | 10/1587 [00:44<1:25:35,  3.26s/it]
  1%|          | 11/1587 [00:46<1:19:49,  3.04s/it]
  1%|          | 12/1587 [00:49<1:14:59,  2.86s/it]
  1%|          | 13/1587 [00:52<1:19:04,  3.01s/it]
  1%|          | 14/1587 [00:56<1:23:14,  3.18s/it]
  1%|          | 15/1587 [00:59<1:25:37,  3.27s/it]
  1%|          | 16/1587 [01:03<1:26:41,  3.31s/it]
  1%|          | 17/1587 [01:06<1:26:52,  3.32s/it]
  1%|          | 18/1587 [01:09<1:26:38,  3.31s/it]
  1%|          | 19/1587 [01:12<1:26:08,  3.30s/it]
  1%|▏         | 20/1587 [01:16<1:28:43,  3.40s/it]
                                                   
  1%|▏         | 20/1587 [01:16<1:28:43,  3.40s/it]
  1%|▏         | 21/1587 [01:19<1:27:01,  3.33s/it]
  1%|▏         | 22/1587 [01:22<1:25:35,  3.28s/it]
  1%|▏         | 23/1587 [01:26<1:24:17,  3.23s/it]
  2%|▏         | 24/1587 [01:29<1:23:04,  3.19s/it]
  2%|▏         | 25/1587 [01:32<1:22:08,  3.16s/it]
  2%|▏         | 26/1587 [01:35<1:21:14,  3.12s/it]
  2%|▏         | 27/1587 [01:38<1:23:08,  3.20s/it]
  2%|▏         | 28/1587 [01:41<1:21:28,  3.14s/it]
  2%|▏         | 29/1587 [01:44<1:19:58,  3.08s/it]
  2%|▏         | 30/1587 [01:47<1:18:43,  3.03s/it]
                                                   
  2%|▏         | 30/1587 [01:47<1:18:43,  3.03s/it]
  2%|▏         | 31/1587 [01:50<1:17:34,  2.99s/it]
  2%|▏         | 32/1587 [01:53<1:16:29,  2.95s/it]
  2%|▏         | 33/1587 [01:56<1:15:26,  2.91s/it]
  2%|▏         | 34/1587 [01:59<1:17:35,  3.00s/it]
  2%|▏         | 35/1587 [02:02<1:15:49,  2.93s/it]
  2%|▏         | 36/1587 [02:04<1:14:26,  2.88s/it]
  2%|▏         | 37/1587 [02:07<1:13:13,  2.83s/it]
  2%|▏         | 38/1587 [02:10<1:12:07,  2.79s/it]
  2%|▏         | 39/1587 [02:12<1:11:15,  2.76s/it]
  3%|▎         | 40/1587 [02:15<1:13:32,  2.85s/it]
                                                   
  3%|▎         | 40/1587 [02:16<1:13:32,  2.85s/it]
  3%|▎         | 41/1587 [02:18<1:11:54,  2.79s/it]
  3%|▎         | 42/1587 [02:21<1:10:43,  2.75s/it]
  3%|▎         | 43/1587 [02:23<1:09:19,  2.69s/it]
  3%|▎         | 44/1587 [02:26<1:08:06,  2.65s/it]
  3%|▎         | 45/1587 [02:28<1:07:11,  2.61s/it]
  3%|▎         | 46/1587 [02:31<1:06:18,  2.58s/it]
  3%|▎         | 47/1587 [02:34<1:08:03,  2.65s/it]
  3%|▎         | 48/1587 [02:36<1:06:00,  2.57s/it]
  3%|▎         | 49/1587 [02:39<1:06:35,  2.60s/it]
  3%|▎         | 50/1587 [02:42<1:12:39,  2.84s/it]
                                                   
  3%|▎         | 50/1587 [02:42<1:12:39,  2.84s/it]
  3%|▎         | 51/1587 [02:49<1:42:26,  4.00s/it]
  3%|▎         | 52/1587 [02:55<2:00:03,  4.69s/it]
  3%|▎         | 53/1587 [03:01<2:10:25,  5.10s/it]
  3%|▎         | 54/1587 [03:07<2:13:40,  5.23s/it]
  3%|▎         | 55/1587 [03:11<2:06:29,  4.95s/it]
  4%|▎         | 56/1587 [03:15<1:57:34,  4.61s/it]
  4%|▎         | 57/1587 [03:18<1:49:34,  4.30s/it]
  4%|▎         | 58/1587 [03:21<1:39:29,  3.90s/it]
  4%|▎         | 59/1587 [03:24<1:30:07,  3.54s/it]
  4%|▍         | 60/1587 [03:27<1:22:32,  3.24s/it]
                                                   
  4%|▍         | 60/1587 [03:27<1:22:32,  3.24s/it]
  4%|▍         | 61/1587 [03:30<1:19:28,  3.13s/it]
  4%|▍         | 62/1587 [03:32<1:13:58,  2.91s/it]
  4%|▍         | 63/1587 [03:34<1:09:37,  2.74s/it]
  4%|▍         | 64/1587 [03:38<1:15:39,  2.98s/it]
  4%|▍         | 65/1587 [03:41<1:19:33,  3.14s/it]
  4%|▍         | 66/1587 [03:45<1:21:52,  3.23s/it]
  4%|▍         | 67/1587 [03:48<1:23:10,  3.28s/it]
  4%|▍         | 68/1587 [03:52<1:26:34,  3.42s/it]
  4%|▍         | 69/1587 [03:55<1:25:43,  3.39s/it]
  4%|▍         | 70/1587 [03:59<1:24:47,  3.35s/it]
                                                   
  4%|▍         | 70/1587 [03:59<1:24:47,  3.35s/it]
  4%|▍         | 71/1587 [04:02<1:23:57,  3.32s/it]
  5%|▍         | 72/1587 [04:05<1:22:56,  3.28s/it]
  5%|▍         | 73/1587 [04:08<1:22:05,  3.25s/it]
  5%|▍         | 74/1587 [04:11<1:21:05,  3.22s/it]
  5%|▍         | 75/1587 [04:15<1:23:05,  3.30s/it]
  5%|▍         | 76/1587 [04:18<1:21:34,  3.24s/it]
  5%|▍         | 77/1587 [04:21<1:20:28,  3.20s/it]
  5%|▍         | 78/1587 [04:24<1:19:19,  3.15s/it]
  5%|▍         | 79/1587 [04:27<1:18:07,  3.11s/it]
  5%|▌         | 80/1587 [04:30<1:17:02,  3.07s/it]
                                                   
  5%|▌         | 80/1587 [04:30<1:17:02,  3.07s/it]
  5%|▌         | 81/1587 [04:33<1:18:46,  3.14s/it]
  5%|▌         | 82/1587 [04:36<1:17:04,  3.07s/it]
  5%|▌         | 83/1587 [04:39<1:15:39,  3.02s/it]
  5%|▌         | 84/1587 [04:42<1:14:29,  2.97s/it]
  5%|▌         | 85/1587 [04:45<1:13:20,  2.93s/it]
  5%|▌         | 86/1587 [04:48<1:12:18,  2.89s/it]
  5%|▌         | 87/1587 [04:50<1:11:25,  2.86s/it]
  6%|▌         | 88/1587 [04:54<1:13:22,  2.94s/it]
  6%|▌         | 89/1587 [04:56<1:11:50,  2.88s/it]
  6%|▌         | 90/1587 [04:59<1:10:30,  2.83s/it]
                                                   
  6%|▌         | 90/1587 [04:59<1:10:30,  2.83s/it]
  6%|▌         | 91/1587 [05:02<1:09:22,  2.78s/it]
  6%|▌         | 92/1587 [05:04<1:08:14,  2.74s/it]
  6%|▌         | 93/1587 [05:07<1:07:16,  2.70s/it]
  6%|▌         | 94/1587 [05:09<1:06:19,  2.67s/it]
  6%|▌         | 95/1587 [05:12<1:08:16,  2.75s/it]
  6%|▌         | 96/1587 [05:15<1:06:25,  2.67s/it]
  6%|▌         | 97/1587 [05:17<1:05:08,  2.62s/it]
  6%|▌         | 98/1587 [05:20<1:03:43,  2.57s/it]
  6%|▌         | 99/1587 [05:22<1:02:03,  2.50s/it]
  6%|▋         | 100/1587 [05:26<1:08:51,  2.78s/it]
                                                    
  6%|▋         | 100/1587 [05:26<1:08:51,  2.78s/it]
  6%|▋         | 101/1587 [05:33<1:39:56,  4.04s/it]
  6%|▋         | 102/1587 [05:39<1:56:14,  4.70s/it]
  6%|▋         | 103/1587 [05:45<2:08:28,  5.19s/it]
  7%|▋         | 104/1587 [05:50<2:07:53,  5.17s/it]
  7%|▋         | 105/1587 [05:55<2:00:28,  4.88s/it]
  7%|▋         | 106/1587 [05:58<1:52:51,  4.57s/it]
